   -3.5897433099E+00   -3.5851469653E+00   -3.5805623760E+00   -3.5759894969E+00
   -3.5714282834E+00   -3.5668786908E+00   -3.5623406747E+00   -3.5578141910E+00
   -3.5532991959E+00   -3.5487956456E+00   -3.5443034966E+00   -3.5398227058E+00
   -3.5353532302E+00   -3.5308950268E+00   -3.5264480531E+00   -3.5220122668E+00
   -3.5175876256E+00   -3.5131740877E+00   -3.5087716112E+00   -3.5043801547E+00
   -3.4999996768E+00   -3.4956301365E+00   -3.4912714927E+00   -3.4869237048E+00
   -3.4825867323E+00   -3.4782605349E+00   -3.4739450725E+00   -3.4696403051E+00
   -3.4653461930E+00   -3.4610626968E+00   -3.4567897772E+00   -3.4525273949E+00
   -3.4482755111E+00   -3.4440340870E+00   -3.4398030841E+00   -3.4355824641E+00
   -3.4313721886E+00   -3.4271722199E+00   -3.4229825200E+00   -3.4188030514E+00
   -3.4146337765E+00   -3.4104746583E+00   -3.4063256595E+00   -3.4021867434E+00
   -3.3980578732E+00   -3.3939390124E+00   -3.3898301246E+00   -3.3857311736E+00
   -3.3816421235E+00   -3.3775629384E+00   -3.3734935826E+00   -3.3694340208E+00
   -3.3653842175E+00   -3.3613441376E+00   -3.3573137461E+00   -3.3532930083E+00
   -3.3492818895E+00   -3.3452803552E+00   -3.3412883711E+00   -3.3373059030E+00
   -3.3333329170E+00   -3.3293693793E+00   -3.3254152561E+00   -3.3214705140E+00
   -3.3175351197E+00   -3.3136090399E+00   -3.3096922416E+00   -3.3057846920E+00
   -3.3018863582E+00   -3.2979972079E+00   -3.2941172085E+00   -3.2902463277E+00
   -3.2863845336E+00   -3.2825317941E+00   -3.2786880773E+00   -3.2748533518E+00
   -3.2710275859E+00   -3.2672107483E+00   -3.2634028077E+00   -3.2596037331E+00
   -3.2558134936E+00   -3.2520320584E+00   -3.2482593968E+00   -3.2444954783E+00
   -3.2407402727E+00   -3.2369937496E+00   -3.2332558790E+00   -3.2295266309E+00
   -3.2258059756E+00   -3.2220938833E+00   -3.2183903247E+00   -3.2146952701E+00
   -3.2110086905E+00   -3.2073305567E+00   -3.2036608397E+00   -3.1999995106E+00
   -3.1963465407E+00   -3.1927019014E+00   -3.1890655643E+00   -3.1854375009E+00
   -3.1818176832E+00   -3.1782060831E+00   -3.1746026725E+00   -3.1710074236E+00
   -3.1674203089E+00   -3.1638413006E+00   -3.1602703713E+00   -3.1567074938E+00
   -3.1531526408E+00   -3.1496057852E+00   -3.1460669001E+00   -3.1425359586E+00
   -3.1390129340E+00   -3.1354977998E+00   -3.1319905294E+00   -3.1284910965E+00
   -3.1249994748E+00   -3.1215156383E+00   -3.1180395609E+00   -3.1145712167E+00
   -3.1111105800E+00   -3.1076576250E+00   -3.1042123263E+00   -3.1007746583E+00
   -3.0973445959E+00   -3.0939221137E+00   -3.0905071866E+00   -3.0870997898E+00
   -3.0836998982E+00   -3.0803074872E+00   -3.0769225320E+00   -3.0735450081E+00
   -3.0701748911E+00   -3.0668121566E+00   -3.0634567804E+00   -3.0601087384E+00
   -3.0567680066E+00   -3.0534345609E+00   -3.0501083777E+00   -3.0467894332E+00
   -3.0434777039E+00   -3.0401731661E+00   -3.0368757965E+00   -3.0335855719E+00
   -3.0303024689E+00   -3.0270264646E+00   -3.0237575359E+00   -3.0204956599E+00
   -3.0172408139E+00   -3.0139929750E+00   -3.0107521208E+00   -3.0075182287E+00
   -3.0042912762E+00   -3.0010712412E+00   -2.9978581013E+00   -2.9946518345E+00
   -2.9914524187E+00   -2.9882598319E+00   -2.9850740524E+00   -2.9818950584E+00
   -2.9787228282E+00   -2.9755573403E+00   -2.9723985731E+00   -2.9692465054E+00
   -2.9661011158E+00   -2.9629623832E+00   -2.9598302863E+00   -2.9567048043E+00
   -2.9535859161E+00   -2.9504736009E+00   -2.9473678379E+00   -2.9442686066E+00
   -2.9411758863E+00   -2.9380896564E+00   -2.9350098967E+00   -2.9319365867E+00
   -2.9288697063E+00   -2.9258092353E+00   -2.9227551535E+00   -2.9197074411E+00
   -2.9166660781E+00   -2.9136310447E+00   -2.9106023211E+00   -2.9075798878E+00
   -2.9045637250E+00   -2.9015538134E+00   -2.8985501335E+00   -2.8955526660E+00
   -2.8925613916E+00   -2.8895762912E+00   -2.8865973456E+00   -2.8836245359E+00
   -2.8806578431E+00   -2.8776972483E+00   -2.8747427328E+00   -2.8717942778E+00
   -2.8688518648E+00   -2.8659154752E+00   -2.8629850904E+00   -2.8600606922E+00
   -2.8571422621E+00   -2.8542297819E+00   -2.8513232335E+00   -2.8484225988E+00
   -2.8455278596E+00   -2.8426389981E+00   -2.8397559964E+00   -2.8368788366E+00
   -2.8340075011E+00   -2.8311419721E+00   -2.8282822321E+00   -2.8254282635E+00
   -2.8225800489E+00   -2.8197375708E+00   -2.8169008121E+00   -2.8140697553E+00
   -2.8112443832E+00   -2.8084246789E+00   -2.8056106254E+00   -2.8028022057E+00
   -2.7999994029E+00   -2.7972022001E+00   -2.7944105807E+00   -2.7916245279E+00
   -2.7888440251E+00   -2.7860690557E+00   -2.7832996032E+00   -2.7805356549E+00
   -2.7777771924E+00   -2.7750241971E+00   -2.7722766525E+00   -2.7695345422E+00
   -2.7667978497E+00   -2.7640665588E+00   -2.7613406534E+00   -2.7586201176E+00
   -2.7559049354E+00   -2.7531950912E+00   -2.7504905695E+00   -2.7477913307E+00
   -2.7450973684E+00   -2.7424086862E+00   -2.7397252712E+00   -2.7370471105E+00
   -2.7343741910E+00   -2.7317064993E+00   -2.7290440219E+00   -2.7263867445E+00
   -2.7237346527E+00   -2.7210877312E+00   -2.7184459643E+00   -2.7158093923E+00
   -2.7131780340E+00   -2.7105517685E+00   -2.7079305695E+00   -2.7053144107E+00
   -2.7027032660E+00   -2.7000971098E+00   -2.6974959176E+00   -2.6948996660E+00
   -2.6923083333E+00   -2.6897218993E+00   -2.6871403462E+00   -2.6845636563E+00
   -2.6819914717E+00   -2.6794241452E+00   -2.6768616871E+00   -2.6743041093E+00
   -2.6717514245E+00   -2.6692036463E+00   -2.6666607876E+00   -2.6641228607E+00
   -2.6615898763E+00   -2.6590618429E+00   -2.6565387664E+00   -2.6540206491E+00
   -2.6515077521E+00   -2.6490000695E+00   -2.6464972911E+00   -2.6439993753E+00
   -2.6415062776E+00   -2.6390179511E+00   -2.6365343470E+00   -2.6340554160E+00
   -2.6315811087E+00   -2.6291113762E+00   -2.6266461714E+00   -2.6241854497E+00
   -2.6217291692E+00   -2.6192768337E+00   -2.6168287897E+00   -2.6143851347E+00
   -2.6119458719E+00   -2.6095110080E+00   -2.6070805525E+00   -2.6046545176E+00
   -2.6022329172E+00   -2.5998157665E+00   -2.5974030812E+00   -2.5949948769E+00
   -2.5925911687E+00   -2.5901919724E+00   -2.5877976898E+00   -2.5854079206E+00
   -2.5830226525E+00   -2.5806418704E+00   -2.5782655573E+00   -2.5758936944E+00
   -2.5735262612E+00   -2.5711632358E+00   -2.5688045953E+00   -2.5664503159E+00
   -2.5641003734E+00   -2.5617547435E+00   -2.5594133958E+00   -2.5570761339E+00
   -2.5547431219E+00   -2.5524143464E+00   -2.5500897949E+00   -2.5477694557E+00
   -2.5454533175E+00   -2.5431413700E+00   -2.5408336031E+00   -2.5385300075E+00
